gID	Description	MMETSP_ID	KeggID	Kegg Definition	Module Definition	Submodule1
Throt1229	Locus1065v1rpkm87.10		K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map01200 map01230 map00030]	Central carbohydrate metabolism
Throt1231	Locus1065v3rpkm17.30		K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map01200 map00030]	Central carbohydrate metabolism
Throt1231	Locus1065v3rpkm17.30		K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map01200 map01230 map00030]	Central carbohydrate metabolism
Skcos996	CAMNT_0000280835	MMETSP0013_2-20120614|13787 	K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map01200 map00030]	Central carbohydrate metabolism
Skcos996	CAMNT_0000280835	MMETSP0013_2-20120614|13787 	K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map01200 map01230 map00030]	Central carbohydrate metabolism
Skcos10178	CAMNT_0000256979	MMETSP0013_2-20120614|1859 	K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map01200 map00030]	Central carbohydrate metabolism
Skcos10178	CAMNT_0000256979	MMETSP0013_2-20120614|1859 	K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map01200 map01230 map00030]	Central carbohydrate metabolism
Throt1240	Locus1072v1rpkm86.57		K03259	EIF4E; translation initiation factor 4	eIF4F complex [PATH:map03013] [BR:ko03012]	RNA processing
Throt4304	Locus3579v1rpkm28.18		K03259	EIF4E; translation initiation factor 4	eIF4F complex [PATH:map03013] [BR:ko03012]	RNA processing
Throt6212	Locus5125v1rpkm20.31		K03259	EIF4E; translation initiation factor 4	eIF4F complex [PATH:map03013] [BR:ko03012]	RNA processing
Skcos9647	CAMNT_0000253585	MMETSP0013_2-20120614|162 	K03259	EIF4E; translation initiation factor 4	eIF4F complex [PATH:map03013] [BR:ko03012]	RNA processing
Skcos14002	CAMNT_0000255949	MMETSP0013_2-20120614|1344 	K03259	EIF4E; translation initiation factor 4	eIF4F complex [PATH:map03013] [BR:ko03012]	RNA processing
Skcos14098	CAMNT_0000261009	MMETSP0013_2-20120614|3874 	K03259	EIF4E; translation initiation factor 4	eIF4F complex [PATH:map03013] [BR:ko03012]	RNA processing
Skcos21408	CAMNT_0000320357	MMETSP0013_2-20120614|33548 	K03259	EIF4E; translation initiation factor 4	eIF4F complex [PATH:map03013] [BR:ko03012]	RNA processing
Throt1251	Locus1078v1rpkm85.99		K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	beta-Oxidation, acyl-CoA synthesis [PATH:map01212 map00071]	Fatty acid metabolism
Throt12385	Locus9910v1rpkm10.14		K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	beta-Oxidation, acyl-CoA synthesis [PATH:map01212 map00071]	Fatty acid metabolism
Throt12763	Locus10190v1rpkm9.79		K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	beta-Oxidation, acyl-CoA synthesis [PATH:map01212 map00071]	Fatty acid metabolism
Skcos5147	CAMNT_0000277983	MMETSP0013_2-20120614|12361 	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	beta-Oxidation, acyl-CoA synthesis [PATH:map01212 map00071]	Fatty acid metabolism
Skcos8000	CAMNT_0000255091	MMETSP0013_2-20120614|915 	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	beta-Oxidation, acyl-CoA synthesis [PATH:map01212 map00071]	Fatty acid metabolism
Skcos12046	CAMNT_0000266129	MMETSP0013_2-20120614|6434 	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	beta-Oxidation, acyl-CoA synthesis [PATH:map01212 map00071]	Fatty acid metabolism
Throt1302	Locus1122v1rpkm81.76		K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]	Central carbohydrate metabolism
Throt1302	Locus1122v1rpkm81.76		K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map01200 map01210 map01230 map00020]	Central carbohydrate metabolism
Throt1317	Locus1135v1rpkm81.08		K07342	SEC61G, SSS1, secE; protein transport protein SEC61 subunit gamma and related proteins	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Skcos2766	CAMNT_0000273473	MMETSP0013_2-20120614|10106 	K07342	SEC61G, SSS1, secE; protein transport protein SEC61 subunit gamma and related proteins	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Skcos7015	CAMNT_0000287393	MMETSP0013_2-20120614|17066 	K07342	SEC61G, SSS1, secE; protein transport protein SEC61 subunit gamma and related proteins	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Skcos21043	CAMNT_0000320433	MMETSP0013_2-20120614|33586 	K07342	SEC61G, SSS1, secE; protein transport protein SEC61 subunit gamma and related proteins	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Throt1323	Locus1138v1rpkm80.90		K08967	mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism
Throt1324	Locus1138v2rpkm3.74_PRE		K08967	mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism
Skcos8040	CAMNT_0000255955	MMETSP0013_2-20120614|1347 	K08967	mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism
Throt1376	Locus1182v2rpkm67.46		K02908	RP-L30e, RPL30; large subunit ribosomal protein L30e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt1376	Locus1182v2rpkm67.46		K02908	RP-L30e, RPL30; large subunit ribosomal protein L30e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos5948	CAMNT_0000273921	MMETSP0013_2-20120614|10330 	K02908	RP-L30e, RPL30; large subunit ribosomal protein L30e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Skcos5948	CAMNT_0000273921	MMETSP0013_2-20120614|10330 	K02908	RP-L30e, RPL30; large subunit ribosomal protein L30e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos9567	CAMNT_0000265555	MMETSP0013_2-20120614|6147 	K02908	RP-L30e, RPL30; large subunit ribosomal protein L30e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Skcos9567	CAMNT_0000265555	MMETSP0013_2-20120614|6147 	K02908	RP-L30e, RPL30; large subunit ribosomal protein L30e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt1396	Locus1198v1rpkm76.92		K02727	PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]	Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]	Proteasome
Throt1396	Locus1198v1rpkm76.92		K02727	PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]	Immunoproteasome [PATH:map03050] [BR:ko03051]	Proteasome
Skcos12897	CAMNT_0000264373	MMETSP0013_2-20120614|5556 	K02727	PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]	Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]	Proteasome
Skcos12897	CAMNT_0000264373	MMETSP0013_2-20120614|5556 	K02727	PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]	Immunoproteasome [PATH:map03050] [BR:ko03051]	Proteasome
Skcos16058	CAMNT_0000297301	MMETSP0013_2-20120614|22020 	K02727	PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]	Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]	Proteasome
Skcos16058	CAMNT_0000297301	MMETSP0013_2-20120614|22020 	K02727	PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]	Immunoproteasome [PATH:map03050] [BR:ko03051]	Proteasome
Throt1398	Locus1200v1rpkm76.59		K03955	NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex [PATH:map00190]	ATP synthesis
Skcos1911	CAMNT_0000278325	MMETSP0013_2-20120614|12532 	K03955	NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex [PATH:map00190]	ATP synthesis
Throt1402	Locus1204v1rpkm76.14		K02152	ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Skcos9739	CAMNT_0000257033	MMETSP0013_2-20120614|1886 	K02152	ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Throt1403	Locus1205v1rpkm76.13		K03940	NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.3 1.6.99.3]	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria [PATH:map00190]	ATP synthesis
Skcos2944	CAMNT_0000282695	MMETSP0013_2-20120614|14717 	K03940	NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.3 1.6.99.3]	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria [PATH:map00190]	ATP synthesis
Throt1404	Locus1205v2rpkm72.18		K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	NADH:quinone oxidoreductase, prokaryotes [PATH:map00190]	ATP synthesis
Throt1411	Locus1210v1rpkm76.02		K02150	ATPeV1E, ATP6E; V-type H+-transporting ATPase subunit	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Skcos8746	CAMNT_0000266085	MMETSP0013_2-20120614|6412 	K02150	ATPeV1E, ATP6E; V-type H+-transporting ATPase subunit	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Throt1503	Locus1292v1rpkm70.61		K00417	QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7	Cytochrome bc1 complex [PATH:map00190]	ATP synthesis
Throt1504	Locus1292v2rpkm38.82		K00417	QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7	Cytochrome bc1 complex [PATH:map00190]	ATP synthesis
Skcos15081	CAMNT_0000299103	MMETSP0013_2-20120614|22921 	K00417	QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7	Cytochrome bc1 complex [PATH:map00190]	ATP synthesis
Skcos23690	CAMNT_0000301103	MMETSP0013_2-20120614|23921 	K00417	QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7	Cytochrome bc1 complex [PATH:map00190]	ATP synthesis
Throt1517	Locus1301v1rpkm70.29		K02135	ATPeF1E, ATP5E, ATP15; F-type H+-transporting ATPase subunit epsilon	F-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Throt1563	Locus1342v1rpkm68.23		K03943	NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.5.3 1.6.99.3]	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria [PATH:map00190]	ATP synthesis
Skcos26517	CAMNT_0000320795	MMETSP0013_2-20120614|33767 	K03943	NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.5.3 1.6.99.3]	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria [PATH:map00190]	ATP synthesis
Throt1577	Locus1354v1rpkm67.42		K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt1577	Locus1354v1rpkm67.42		K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt1578	Locus1354v2rpkm64.37		K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt1578	Locus1354v2rpkm64.37		K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt13643	Locus10867v1rpkm9.08		K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Throt13643	Locus10867v1rpkm9.08		K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos8540	CAMNT_0000258069	MMETSP0013_2-20120614|2404 	K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Skcos8540	CAMNT_0000258069	MMETSP0013_2-20120614|2404 	K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos26415	CAMNT_0000313707	MMETSP0013_2-20120614|30223 	K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, archaea [PATH:map03010] [BR:ko03011]	Ribosome
Skcos26415	CAMNT_0000313707	MMETSP0013_2-20120614|30223 	K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt1579	Locus1355v1rpkm67.40		K03526	E1.17.7.1, gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1]	C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]	Terpenoid backbone biosynthesis
Skcos16297	CAMNT_0000296249	MMETSP0013_2-20120614|21494 	K03526	E1.17.7.1, gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1]	C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]	Terpenoid backbone biosynthesis
Throt1611	Locus1382v1rpkm66.39		K10956	SEC61A; protein transport protein SEC61 subunit alpha	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Throt14532	Locus11525v1rpkm8.42		K10956	SEC61A; protein transport protein SEC61 subunit alpha	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Skcos5339	CAMNT_0000281393	MMETSP0013_2-20120614|14066 	K10956	SEC61A; protein transport protein SEC61 subunit alpha	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Skcos18787	CAMNT_0000326703	MMETSP0013_2-20120614|36721 	K10956	SEC61A; protein transport protein SEC61 subunit alpha	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]	Protein processing
Throt1643	Locus1407v1rpkm65.24		K02144	ATPeV1H; V-type H+-transporting ATPase subunit H	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Throt11023	Locus8883v1rpkm11.47		K02144	ATPeV1H; V-type H+-transporting ATPase subunit H	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Throt11024	Locus8883v2rpkm2.27		K02144	ATPeV1H; V-type H+-transporting ATPase subunit H	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Skcos11808	CAMNT_0000256335	MMETSP0013_2-20120614|1537 	K02144	ATPeV1H; V-type H+-transporting ATPase subunit H	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Skcos17836	CAMNT_0000288713	MMETSP0013_2-20120614|17726 	K02144	ATPeV1H; V-type H+-transporting ATPase subunit H	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Throt1670	Locus1428v1rpkm64.13		K02145	ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Skcos7888	CAMNT_0000265637	MMETSP0013_2-20120614|6188 	K02145	ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	V-type ATPase, eukaryotes [PATH:map00190]	ATP synthesis
Throt1702	Locus1455v1rpkm62.68		K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	Cytochrome bc1 complex respiratory unit [PATH:map00190]	ATP synthesis
Throt1702	Locus1455v1rpkm62.68		K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	Cytochrome bc1 complex [PATH:map00190]	ATP synthesis
Skcos16702	CAMNT_0000288689	MMETSP0013_2-20120614|17714 	K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	Cytochrome bc1 complex respiratory unit [PATH:map00190]	ATP synthesis
Skcos16702	CAMNT_0000288689	MMETSP0013_2-20120614|17714 	K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	Cytochrome bc1 complex [PATH:map00190]	ATP synthesis
Throt1743	Locus1490v1rpkm61.41		K00503	DBH; dopamine beta-monooxygenase [EC:1.14.17.1]	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline [PATH:map00350]	Aromatic amino acid metabolism
Throt1806	Locus1531v1rpkm59.86		K03116	tatA; sec-independent protein translocase protein TatA	Twin-arginine translocation (Tat) system [PATH:map03070] [BR:ko02044]	Bacterial secretion system
Skcos11371	CAMNT_0000255151	MMETSP0013_2-20120614|945 	K03116	tatA; sec-independent protein translocase protein TatA	Twin-arginine translocation (Tat) system [PATH:map03070] [BR:ko02044]	Bacterial secretion system
Throt1822	Locus1544v1rpkm59.40		K02437	gcvH, GCSH; glycine cleavage system H protein	Photorespiration [PATH:map00630]	Other carbohydrate metabolism
Throt1823	Locus1544v2rpkm2.07_PRE		K02437	gcvH, GCSH; glycine cleavage system H protein	Photorespiration [PATH:map00630]	Other carbohydrate metabolism
Skcos8956	CAMNT_0000258533	MMETSP0013_2-20120614|2636 	K02437	gcvH, GCSH; glycine cleavage system H protein	Photorespiration [PATH:map00630]	Other carbohydrate metabolism
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	SCF-MET30 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	SCF-BTRC complex [PATH:map04120 map04114 map04310 map04710] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	SCF-SKP2 complex [PATH:map04120 map04110 map05168] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	SCF-FBS complex [PATH:map04120 map04141] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	SCF-CDC4 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	SCF-GRR1 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	ECV complex [PATH:map04120 map05211] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	Cul3-SPOP complex [PATH:map04120] [BR:ko04121]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	Cul4-DDB1-DDB2 complex [PATH:map04120 map03420] [BR:ko04121 ko03400]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	Cul4-DDB1-CSA complex [PATH:map04120 map03420] [BR:ko04121 ko03400]	Ubiquitin system
Throt1838	Locus1557v1rpkm59.10		K03868	RBX1, ROC1; RING-box protein 1	SCF-FBW7 complex [PATH:map04120] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	SCF-MET30 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	SCF-BTRC complex [PATH:map04120 map04114 map04310 map04710] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	SCF-SKP2 complex [PATH:map04120 map04110 map05168] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	SCF-FBS complex [PATH:map04120 map04141] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	SCF-CDC4 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	SCF-GRR1 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	ECV complex [PATH:map04120 map05211] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	Cul3-SPOP complex [PATH:map04120] [BR:ko04121]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	Cul4-DDB1-DDB2 complex [PATH:map04120 map03420] [BR:ko04121 ko03400]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	Cul4-DDB1-CSA complex [PATH:map04120 map03420] [BR:ko04121 ko03400]	Ubiquitin system
Throt1839	Locus1557v2rpkm35.54		K03868	RBX1, ROC1; RING-box protein 1	SCF-FBW7 complex [PATH:map04120] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	SCF-MET30 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	SCF-BTRC complex [PATH:map04120 map04114 map04310 map04710] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	SCF-SKP2 complex [PATH:map04120 map04110 map05168] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	SCF-FBS complex [PATH:map04120 map04141] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	SCF-CDC4 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	SCF-GRR1 complex [PATH:map04120 map04111] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	ECV complex [PATH:map04120 map05211] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	Cul3-SPOP complex [PATH:map04120] [BR:ko04121]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	Cul4-DDB1-DDB2 complex [PATH:map04120 map03420] [BR:ko04121 ko03400]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	Cul4-DDB1-CSA complex [PATH:map04120 map03420] [BR:ko04121 ko03400]	Ubiquitin system
Skcos15205	CAMNT_0000292293	MMETSP0013_2-20120614|19516 	K03868	RBX1, ROC1; RING-box protein 1	SCF-FBW7 complex [PATH:map04120] [BR:ko04121]	Ubiquitin system
Throt1847	Locus1563v1rpkm58.87		K13789	GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]	Terpenoid backbone biosynthesis
Throt1847	Locus1563v1rpkm58.87		K13789	GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]	Terpenoid backbone biosynthesis
Skcos12831	CAMNT_0000261927	MMETSP0013_2-20120614|4333 	K13789	GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]	Terpenoid backbone biosynthesis
Skcos12831	CAMNT_0000261927	MMETSP0013_2-20120614|4333 	K13789	GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]	Terpenoid backbone biosynthesis
Throt1851	Locus1567v1rpkm58.76		K02732	PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]	Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]	Proteasome
Throt1851	Locus1567v1rpkm58.76		K02732	PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]	Immunoproteasome [PATH:map03050] [BR:ko03051]	Proteasome
Throt14145	Locus11232v1rpkm8.71		K02732	PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]	Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]	Proteasome
Throt14145	Locus11232v1rpkm8.71		K02732	PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]	Immunoproteasome [PATH:map03050] [BR:ko03051]	Proteasome
Skcos2287	CAMNT_0000273657	MMETSP0013_2-20120614|10198 	K02732	PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]	Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]	Proteasome
Skcos2287	CAMNT_0000273657	MMETSP0013_2-20120614|10198 	K02732	PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]	Immunoproteasome [PATH:map03050] [BR:ko03051]	Proteasome
Skcos8238	CAMNT_0000263411	MMETSP0013_2-20120614|5075 	K02732	PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]	Proteasome, 20S core particle [PATH:map03050] [BR:ko03051]	Proteasome
