	KEGG	Definition
K00020	['Skcos21676']	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K09313	['Skcos2169']	homeobox protein cut-like
K00344	['Skcos21795']	NADPH2:quinone reductase [EC:1.6.5.5]
K01534	['Skcos21837', 'Skcos8022']	Cd2+/Zn2+-exporting ATPase [EC:3.6.3.33.6.3.5]
K00432	['Skcos222', 'Skcos9245']	glutathione peroxidase [EC:1.11.1.9]
K09415	['Skcos22246', 'Skcos4455']	heat shock transcription factor 2
K11064	['Skcos22247']	monocyte to macrophage differentiation protein
K12199	['Skcos22347']	vacuolar protein sorting-associated protein VTA1
K15177	['Skcos22348', 'Skcos6363']	RNA polymerase-associated protein LEO1
K03773	['Skcos22436', 'Skcos3226']	FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]
K04575	['Skcos2246']	amyotrophic lateral sclerosis 2 protein
K17637	['Skcos227', 'Skcos9333']	exocyst complex component 2
K17900	['Skcos22735', 'Skcos9903']	lipase ATG15 [EC:3.1.1.3]
K01874	['Skcos2275']	methionyl-tRNA synthetase [EC:6.1.1.10]
K05236	['Skcos22788']	coatomer protein complex, subunit alpha (xenin)
K03032	['Skcos22798']	26S proteasome regulatory subunit N2
K03885	['Skcos22868', 'Skcos4719']	NADH dehydrogenase [EC:1.6.99.3]
K15287	['Skcos22899']	solute carrier family 35, member F1/2
K16302	['Skcos22910', 'Skcos9340']	metal transporter CNNM
K10393	['Skcos22916']	kinesin family member 2/24
K02267	['Skcos2298']	cytochrome c oxidase subunit 6b
K01792	['Skcos2302']	glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
K00928	['Skcos2306']	aspartate kinase [EC:2.7.2.4]
K16196	['Skcos23139', 'Skcos7352']	eukaryotic translation initiation factor 2-alpha kinase 4 [EC:2.7.11.1]
K03037	['Skcos23252']	26S proteasome regulatory subunit N7
K01958	['Skcos23267']	pyruvate carboxylase [EC:6.4.1.1]
K02492	['Skcos23304']	glutamyl-tRNA reductase [EC:1.2.1.70]
K00566	['Skcos23305']	tRNA-specific 2-thiouridylase [EC:2.8.1.-]
K00589	['Skcos23308']	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K07195	['Skcos23316', 'Skcos3423']	exocyst complex component 7
K17087	['Skcos23466']	transmembrane 9 superfamily member 3
K13095	['Skcos23512', 'Skcos3654']	splicing factor 1
K11886	['Skcos23530', 'Skcos23752', 'Skcos7805']	proteasome component ECM29
K01137	['Skcos236']	N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]
K03686	['Skcos23694']	molecular chaperone DnaJ
K12403	['Skcos2370', 'Skcos5115']	AP-4 complex subunit sigma-1
K11308	['Skcos23701', 'Skcos24201', 'Skcos2685']	histone acetyltransferase MYST1 [EC:2.3.1.48]
K02641	['Skcos23737', 'Skcos3118']	ferredoxin--NADP+ reductase [EC:1.18.1.2]
K04498	['Skcos23740', 'Skcos25078', 'Skcos300', 'Skcos3761', 'Skcos6326']	E1A/CREB-binding protein [EC:2.3.1.48]
K01676	['Skcos23866']	fumarate hydratase, class I [EC:4.2.1.2]
K08907	['Skcos2391']	light-harvesting complex I chlorophyll a/b binding protein 1
K01834	['Skcos23983']	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
K01890	['Skcos24044']	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
K12197	['Skcos2429']	charged multivesicular body protein 1
K00234	['Skcos24308']	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K03364	['Skcos2437', 'Skcos3469']	cell division cycle 20-like protein 1, cofactor of APC complex
K01255	['Skcos24409', 'Skcos6389']	leucyl aminopeptidase [EC:3.4.11.1]
K01769	['Skcos24473']	guanylate cyclase, other [EC:4.6.1.2]
K01379	['Skcos2451']	cathepsin D [EC:3.4.23.5]
K01990	['Skcos24668']	ABC-2 type transport system ATP-binding protein
K09578	['Skcos2472']	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8]
K02326	['Skcos24724', 'Skcos424']	DNA polymerase epsilon subunit 3 [EC:2.7.7.7]
K01262	['Skcos24750']	Xaa-Pro aminopeptidase [EC:3.4.11.9]
K00252	['Skcos24831']	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K13144	['Skcos24881', 'Skcos9236']	integrator complex subunit 7
K02689	['Skcos24941']	photosystem I P700 chlorophyll a apoprotein A1
K00951	['Skcos25030']	GTP pyrophosphokinase [EC:2.7.6.5]
K12581	['Skcos2506']	CCR4-NOT transcription complex subunit 7/8
K00286	['Skcos25265']	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K13342	['Skcos25322']	peroxin-5
K08876	['Skcos25324', 'Skcos4366']	SCY1-like protein 1
K17600	['Skcos25432', 'Skcos9466']	vacuolar protein sorting-associated protein 54
K12169	['Skcos25517']	Kip1 ubiquitination-promoting complex protein 1 [EC:6.3.2.19]
K06972	['Skcos25526']	COG:&nbsp;COG1026
K13337	['Skcos25552']	peroxin-19
K05652	['Skcos25612']	ATP-binding cassette, subfamily A (ABC1), member 10
K06889	['Skcos2571']	COG:&nbsp;COG1073
K00927	['Skcos2578']	phosphoglycerate kinase [EC:2.7.2.3]
K06158	['Skcos26', 'Skcos664', 'Skcos7452']	ATP-binding cassette, subfamily F, member 3
K01803	['Skcos26220', 'Skcos381']	triosephosphate isomerase (TIM) [EC:5.3.1.1]
K06639	['Skcos26252', 'Skcos27083']	cell division cycle 14 [EC:3.1.3.163.1.3.48]
K16365	['Skcos26289', 'Skcos3516']	small glutamine-rich tetratricopeptide repeat-containing protein alpha
K09925	['Skcos2629']	hypothetical protein
K03943	['Skcos26517']	NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.5.31.6.99.3]
K00972	['Skcos2652', 'Skcos5797']	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.232.7.7.83]
K08495	['Skcos26573']	golgi SNAP receptor complex member 1
K12392	['Skcos26592']	AP-1 complex subunit beta-1
K01883	['Skcos26632', 'Skcos467']	cysteinyl-tRNA synthetase [EC:6.1.1.16]
K01303	['Skcos2668']	acylaminoacyl-peptidase [EC:3.4.19.1]
K01601	['Skcos26739']	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
K17917	['Skcos26911']	sorting nexin-1/2
K00111	['Skcos26978', 'Skcos6378']	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K12818	['Skcos270', 'Skcos7840']	ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]
K15555	['Skcos27004']	sulfonate transport system ATP-binding protein [EC:3.6.3.-]
K08262	['Skcos27007']	delta12-fatty acid dehydrogenase [EC:1.14.99.33]
K12275	['Skcos27033', 'Skcos3786']	translocation protein SEC62
K00914	['Skcos27045']	phosphatidylinositol 3-kinase [EC:2.7.1.137]
K14648	['Skcos27048', 'Skcos382']	poly(U)-specific endoribonuclease [EC:3.1.-.-]
K00615	['Skcos27202']	transketolase [EC:2.2.1.1]
K03006	['Skcos2728']	DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]
K10536	['Skcos27309']	agmatine deiminase [EC:3.5.3.12]
K00817	['Skcos2736']	histidinol-phosphate aminotransferase [EC:2.6.1.9]
K04554	['Skcos27458', 'Skcos8155']	ubiquitin-conjugating enzyme E2 J2 [EC:6.3.2.19]
K12611	['Skcos27471', 'Skcos316']	mRNA-decapping enzyme 1B [EC:3.-.-.-]
K10706	['Skcos27504']	senataxin [EC:3.6.4.-]
K08902	['Skcos2754']	photosystem II Psb27 protein
K03544	['Skcos27540']	ATP-dependent Clp protease ATP-binding subunit ClpX
K02705	['Skcos27546']	photosystem II CP43 chlorophyll apoprotein
K01889	['Skcos2755', 'Skcos6683']	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
K07511	['Skcos27607']	enoyl-CoA hydratase [EC:4.2.1.17]
K12812	['Skcos27611', 'Skcos5185']	ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.4.13]
K03969	['Skcos2786']	phage shock protein A
K12813	['Skcos2821']	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13]
K03011	['Skcos2823']	DNA-directed RNA polymerase II subunit RPB3
K03921	['Skcos2851']	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]
K03911	['Skcos2888']	antithrombin III
K14007	['Skcos2904']	protein transport protein SEC24
K03940	['Skcos2944']	NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.31.6.99.3]
K03676	['Skcos2952']	glutaredoxin 3
K17255	['Skcos3006']	Rab GDP dissociation inhibitor
K00658	['Skcos3020']	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K14683	['Skcos3023']	solute carrier family 34 (sodium-dependent phosphate cotransporter)
K05917	['Skcos3041']	sterol 14-demethylase [EC:1.14.13.70]
K08515	['Skcos3053', 'Skcos6933']	vesicle-associated membrane protein 7
K12393	['Skcos3105']	AP-1 complex subunit mu
K03687	['Skcos3137']	molecular chaperone GrpE
K01899	['Skcos3149']	succinyl-CoA synthetase alpha subunit [EC:6.2.1.46.2.1.5]
K00819	['Skcos3187']	ornithine--oxo-acid transaminase [EC:2.6.1.13]
K14298	['Skcos3193']	mRNA export factor
K06063	['Skcos3195']	SNW domain-containing protein 1
K08794	['Skcos3227', 'Skcos4723']	calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]
K02929	['Skcos3256']	large subunit ribosomal protein L44e
K03667	['Skcos3259']	ATP-dependent HslUV protease ATP-binding subunit HslU
K12524	['Skcos3291']	bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.41.1.1.3]
K01783	['Skcos3422']	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
K09966	['Skcos3440']	hypothetical protein
K02155	['Skcos3493', 'Skcos440', 'Skcos6133', 'Skcos955']	V-type H+-transporting ATPase 16kDa proteolipid subunit
K02728	['Skcos3499']	20S proteasome subunit alpha 3 [EC:3.4.25.1]
K06942	['Skcos3504']	COG:&nbsp;COG0012
K11717	['Skcos352']	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.74.4.1.16]
K12618	['Skcos3554', 'Skcos5887']	5'-3' exoribonuclease 1 [EC:3.1.13.-]
K01734	['Skcos3604']	methylglyoxal synthase [EC:4.2.3.3]
K11644	['Skcos3608']	paired amphipathic helix protein Sin3a
K01507	['Skcos366']	inorganic pyrophosphatase [EC:3.6.1.1]
K01230	['Skcos368']	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]
K13237	['Skcos3731']	peroxisomal 2,4-dienoyl-CoA reductase [EC:1.3.1.34]
K06171	['Skcos3748']	nicastrin
K01869	['Skcos3760']	leucyl-tRNA synthetase [EC:6.1.1.4]
K03665	['Skcos3765']	GTP-binding protein HflX
K13116	['Skcos3784']	ATP-dependent RNA helicase DDX41 [EC:3.6.4.13]
K02703	['Skcos3847']	photosystem II P680 reaction center D1 protein
K14964	['Skcos3884']	Set1/Ash2 histone methyltransferase complex subunit ASH2
K11649	['Skcos395']	SWI/SNF related-matrix-associated actin-dependent regulator of chromatin subfamily C
K12614	['Skcos399']	ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.4.13]
K15172	['Skcos3997']	transcription elongation factor SPT5
K01711	['Skcos4001']	GDPmannose 4,6-dehydratase [EC:4.2.1.47]
K00640	['Skcos4031', 'Skcos8162']	serine O-acetyltransferase [EC:2.3.1.30]
K10365	['Skcos4078']	capping protein (actin filament) muscle Z-line, beta
K08956	['Skcos4083']	AFG3 family protein [EC:3.4.24.-]
K14416	['Skcos4188']	elongation factor 1 alpha-like protein
K13171	['Skcos4196']	serine/arginine repetitive matrix protein 1
K12418	['Skcos4275']	fatty acid desaturase (delta-4 desaturase) [EC:1.14.19.-]
K00232	['Skcos4349']	acyl-CoA oxidase [EC:1.3.3.6]
K01893	['Skcos4364']	asparaginyl-tRNA synthetase [EC:6.1.1.22]
K06100	['Skcos4368']	symplekin
K02480	['Skcos4398', 'Skcos5843']	two-component system, NarL family, sensor kinase [EC:2.7.13.3]
K00134	['Skcos4407', 'Skcos9436']	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K08065	['Skcos4594']	nuclear transcription Y subunit beta
K03139	['Skcos4617']	transcription initiation factor TFIIF subunit beta [EC:3.6.4.12]
K08790	['Skcos4655']	serine/threonine kinase 38 [EC:2.7.11.1]
K01647	['Skcos4668']	citrate synthase [EC:2.3.3.1]
K00459	['Skcos4739']	nitronate monooxygenase [EC:1.13.12.16]
K14455	['Skcos4764']	aspartate aminotransferase, mitochondrial [EC:2.6.1.1]
K02259	['Skcos4769']	cytochrome c oxidase assembly protein subunit 15
K02056	['Skcos4779']	simple sugar transport system ATP-binding protein [EC:3.6.3.17]
K15181	['Skcos4814']	negative elongation factor C/D
K08959	['Skcos4818']	casein kinase 1, delta [EC:2.7.11.1]
K12604	['Skcos4976']	CCR4-NOT transcription complex subunit 1
K14772	['Skcos4977']	U3 small nucleolar RNA-associated protein 20
K03695	['Skcos4988']	ATP-dependent Clp protease ATP-binding subunit ClpB
K14617	['Skcos5007']	LMBR1 domain-containing protein 1
K09291	['Skcos5112']	nucleoprotein TPR
K12625	['Skcos5127', 'Skcos952']	U6 snRNA-associated Sm-like protein LSm6
K01590	['Skcos5145']	histidine decarboxylase [EC:4.1.1.22]
K08679	['Skcos5166']	UDP-glucuronate 4-epimerase [EC:5.1.3.6]
K12198	['Skcos5188']	charged multivesicular body protein 5
K07874	['Skcos5220']	Ras-related protein Rab-1A
K01069	['Skcos5250']	hydroxyacylglutathione hydrolase [EC:3.1.2.6]
K03258	['Skcos5251']	translation initiation factor 4B
K14005	['Skcos5370']	protein transport protein SEC31
K03509	['Skcos5383']	DNA polymerase eta [EC:2.7.7.7]
K00873	['Skcos5418']	pyruvate kinase [EC:2.7.1.40]
K02736	['Skcos5452']	20S proteasome subunit beta 7 [EC:3.4.25.1]
K04078	['Skcos5463']	chaperonin GroES
K02291	['Skcos5479']	phytoene synthase [EC:2.5.1.32]
K07151	['Skcos5495']	dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.99.18]
K00944	['Skcos5515']	nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10]
K06685	['Skcos5517', 'Skcos6']	MOB kinase activator 1
K01735	['Skcos5558']	3-dehydroquinate synthase [EC:4.2.3.4]
K06177	['Skcos557']	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.285.4.99.29]
K01624	['Skcos5641', 'Skcos6315', 'Skcos7395']	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K00166	['Skcos5644']	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K01920	['Skcos5686']	glutathione synthase [EC:6.3.2.3]
K15176	['Skcos5698']	RNA polymerase-associated protein CTR9
K12580	['Skcos5780']	CCR4-NOT transcription complex subunit 3
K09531	['Skcos5835']	DnaJ homolog subfamily C member 11
K02863	['Skcos5866']	large subunit ribosomal protein L1
K00559	['Skcos5899']	sterol 24-C-methyltransferase [EC:2.1.1.41]
K03810	['Skcos592']	virulence factor
K03094	['Skcos5930']	S-phase kinase-associated protein 1
K07901	['Skcos5940', 'Skcos6836']	Ras-related protein Rab-8A
K13076	['Skcos5951']	delta8-fatty-acid desaturase [EC:1.14.19.4]
K10573	['Skcos5952']	ubiquitin-conjugating enzyme E2 A [EC:6.3.2.19]
K07904	['Skcos5969']	Ras-related protein Rab-11A
K05034	['Skcos5986']	solute carrier family 6 (neurotransmitter transporter, GABA) member 1
K16536	['Skcos6024']	protein HOOK3
K04077	['Skcos6198']	chaperonin GroEL
K12898	['Skcos6204']	heterogeneous nuclear ribonucleoprotein F/H
K01011	['Skcos623']	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.12.8.1.2]
K07240	['Skcos6241']	chromate transporter
K02469	['Skcos6267']	DNA gyrase subunit A [EC:5.99.1.3]
K10756	['Skcos6271']	replication factor C subunit 3/5
K02639	['Skcos6277']	ferredoxin
K08819	['Skcos6290']	cyclin-dependent kinase 12/13 [EC:2.7.11.222.7.11.23]
K12194	['Skcos6318']	charged multivesicular body protein 4
K12343	['Skcos636']	3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]
K06215	['Skcos6362']	pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]
K04646	['Skcos6367']	clathrin heavy chain
K00754	['Skcos6391']	ko00051&nbsp;&nbsp;
K12586	['Skcos6394']	exosome complex component RRP43
K05516	['Skcos6402']	curved DNA-binding protein
K08360	['Skcos645']	cytochrome b-561
K03942	['Skcos6458']	NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.31.6.99.3]
K11314	['Skcos6561']	transcriptional adapter 2-alpha
K03019	['Skcos6574']	DNA-directed RNA polymerase III subunit RPC10
K00858	['Skcos6593']	NAD+ kinase [EC:2.7.1.23]
K05610	['Skcos663']	ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]
K01427	['Skcos6657']	urease [EC:3.5.1.5]
K12483	['Skcos6673']	EH domain-containing protein 1
K01078	['Skcos6677']	acid phosphatase [EC:3.1.3.2]
K09562	['Skcos6757']	hsp70-interacting protein
K08869	['Skcos6768']	aarF domain-containing kinase
K03404	['Skcos6799']	magnesium chelatase subunit D [EC:6.6.1.1]
K13811	['Skcos6812']	3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.42.7.1.25]
K15026	['Skcos6850']	translation initiation factor 2A
K07942	['Skcos6855']	ADP-ribosylation factor-like protein 1
K03456	['Skcos6893']	serine/threonine-protein phosphatase 2A regulatory subunit A
K03949	['Skcos6936']	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5
K02879	['Skcos6945']	large subunit ribosomal protein L17
K00382	['Skcos695']	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K01694	['Skcos6968']	tryptophan synthase [EC:4.2.1.20]
K11968	['Skcos698']	ariadne-1
K08906	['Skcos6986']	cytochrome c6
K01340	['Skcos7077']	tryptase [EC:3.4.21.59]
K11188	['Skcos7079']	peroxiredoxin 6, 1-Cys peroxiredoxin [EC:1.11.1.71.11.1.153.1.1.-]
K15692	['Skcos7129']	E3 ubiquitin-protein ligase RNF13 [EC:6.3.2.19]
K00326	['Skcos7144']	cytochrome-b5 reductase [EC:1.6.2.2]
K15178	['Skcos7149']	RNA polymerase-associated protein RTF1
K01965	['Skcos716']	propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
K12489	['Skcos7206']	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein
K09838	['Skcos7223']	zeaxanthin epoxidase [EC:1.14.13.90]
K03347	['Skcos725']	cullin 1
K02739	['Skcos7253']	20S proteasome subunit beta 2 [EC:3.4.25.1]
K03798	['Skcos7274']	cell division protease FtsH [EC:3.4.24.-]
K01915	['Skcos7284']	glutamine synthetase [EC:6.3.1.2]
K14016	['Skcos729']	ubiquitin fusion degradation protein 1
K09553	['Skcos7290']	stress-induced-phosphoprotein 1
K11412	['Skcos7305']	NAD-dependent deacetylase sirtuin 2 [EC:3.5.1.-]
K15279	['Skcos7321']	solute carrier family 35 (GDP-fucose transporter), member C1
K02867	['Skcos7343']	large subunit ribosomal protein L11
K11984	['Skcos7375']	U4/U6.U5 tri-snRNP-associated protein 1
K12386	['Skcos7378']	cystinosin
K15275	['Skcos741', 'Skcos8211']	solute carrier family 35 (UDP-galactose transporter), member B1
K12855	['Skcos7417']	pre-mRNA-processing factor 6
K00507	['Skcos7442']	stearoyl-CoA desaturase (delta-9 desaturase) [EC:1.14.19.1]
K12391	['Skcos7443']	AP-1 complex subunit gamma-1
K00888	['Skcos7463']	phosphatidylinositol 4-kinase [EC:2.7.1.67]
K00600	['Skcos7467']	glycine hydroxymethyltransferase [EC:2.1.2.1]
K05673	['Skcos7475']	ATP-binding cassette, subfamily C (CFTR/MRP), member 4
K08269	['Skcos7482']	serine/threonine-protein kinase ULK/ATG1 [EC:2.7.11.1]
K10735	['Skcos7545']	GINS complex subunit 4
K08576	['Skcos7553']	calpain-7 [EC:3.4.22.-]
K09807	['Skcos7566']	hypothetical protein
K05539	['Skcos7648']	tRNA-dihydrouridine synthase A [EC:1.-.-.-]
K05850	['Skcos7651']	Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]
K15371	['Skcos7695']	glutamate dehydrogenase [EC:1.4.1.2]
K00318	['Skcos7765']	proline dehydrogenase [EC:1.5.-.-]
K03350	['Skcos7819']	anaphase-promoting complex subunit 3
K10534	['Skcos7824']	nitrate reductase (NAD(P)H) [EC:1.7.1.11.7.1.21.7.1.3]
K01408	['Skcos7826']	insulysin [EC:3.4.24.56]
K03869	['Skcos7872']	cullin 3
K11493	['Skcos7879']	regulator of chromosome condensation
K13138	['Skcos7963']	integrator complex subunit 1
K00698	['Skcos808']	chitin synthase [EC:2.4.1.16]
K03797	['Skcos8114', 'Skcos9675']	carboxyl-terminal processing protease [EC:3.4.21.102]
K09680	['Skcos8115']	type II pantothenate kinase [EC:2.7.1.33]
K01515	['Skcos8118']	ADP-ribose pyrophosphatase [EC:3.6.1.13]
K00939	['Skcos8123']	adenylate kinase [EC:2.7.4.3]
K00012	['Skcos817']	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K03136	['Skcos8172']	transcription initiation factor TFIIE subunit alpha
K07977	['Skcos824']	Arf/Sar family, other
K03596	['Skcos8275']	GTP-binding protein LepA
K01937	['Skcos8321']	CTP synthase [EC:6.3.4.2]
K00416	['Skcos8401']	ubiquinol-cytochrome c reductase subunit 6
K00760	['Skcos8402']	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
K01537	['Skcos8450', 'Skcos867', 'Skcos9874']	Ca2+-transporting ATPase [EC:3.6.3.8]
K01854	['Skcos8472']	UDP-galactopyranose mutase [EC:5.4.99.9]
K02356	['Skcos8496']	elongation factor P
K15336	['Skcos8517']	tRNA (cytosine38-C5)-methyltransferase [EC:2.1.1.204]
K11274	['Skcos855']	chromosome transmission fidelity protein 4
K00413	['Skcos8631']	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K12948	['Skcos8658']	signal peptidase complex subunit 3 [EC:3.4.-.-]
K00033	['Skcos8712', 'Skcos8741']	6-phosphogluconate dehydrogenase [EC:1.1.1.44]
K01251	['Skcos8733']	adenosylhomocysteinase [EC:3.3.1.1]
K12572	['Skcos8738']	PAB-dependent poly(A)-specific ribonuclease subunit 3
K17803	['Skcos8751']	methyltransferase OMS1, mitochondrial [EC:2.1.1.-]
K00831	['Skcos8760']	phosphoserine aminotransferase [EC:2.6.1.52]
K03639	['Skcos8782']	cyclic pyranopterin phosphate synthase [EC:4.1.99.18]
K04536	['Skcos8828']	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
K11827	['Skcos889']	AP-2 complex subunit sigma-1
K01551	['Skcos8927']	arsenite-transporting ATPase [EC:3.6.3.16]
K02437	['Skcos8956']	glycine cleavage system H protein
K04712	['Skcos9055']	sphingolipid delta-4 desaturase [EC:1.14.-.-]
K08493	['Skcos9069']	vesicle transport through interaction with t-SNAREs 1
K03142	['Skcos908']	transcription initiation factor TFIIH subunit 2
K08516	['Skcos9095']	synaptobrevin homolog YKT6
K01529	['Skcos9112']	Enzymes [BR:ko01000]&nbsp;3. Hydrolases&nbsp;&nbsp;3.6&nbsp;&nbsp;Acting on acid anhydrides&nbsp;&nbsp;&nbsp;3.6.1&nbsp;&nbsp;In phosphorus-containing anhydrides&nbsp;&nbsp;&nbsp;&nbsp;3.6.1.-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;K01529&nbsp;&nbsp;E3.6.1.-
K01892	['Skcos9129']	histidyl-tRNA synthetase [EC:6.1.1.21]
K06911	['Skcos9148']	COG:&nbsp;COG1741
K11843	['Skcos9225']	ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]
K00850	['Skcos9256']	6-phosphofructokinase 1 [EC:2.7.1.11]
K00872	['Skcos9276']	homoserine kinase [EC:2.7.1.39]
K00855	['Skcos9286']	phosphoribulokinase [EC:2.7.1.19]
K07098	['Skcos9303']	COG:&nbsp;COG1408
K10418	['Skcos9312']	dynein light chain LC8-type
K14788	['Skcos9408']	ribosome biogenesis protein ENP2
K13412	['Skcos9443']	calcium-dependent protein kinase [EC:2.7.11.1]
K00235	['Skcos9462']	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K14640	['Skcos9549']	solute carrier family 20 (sodium-dependent phosphate transporter)
K00164	['Skcos9558']	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K07243	['Skcos957']	high-affinity iron transporter
K12861	['Skcos9650']	pre-mRNA-splicing factor SPF27
K02293	['Skcos968']	15-cis-phytoene desaturase [EC:1.3.5.5]
K02551	['Skcos9732']	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
K10599	['Skcos9758']	pre-mRNA-processing factor 19 [EC:6.3.2.19]
K10597	['Skcos9826']	ubiquitin conjugation factor E4 B [EC:6.3.2.19]
K02636	['Skcos9835']	cytochrome b6-f complex iron-sulfur subunit [EC:1.10.9.1]
K11654	['Skcos9844']	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-]
K07937	['Skcos9877']	ADP-ribosylation factor 1
K05293	['Skcos9889']	phosphatidylinositol glycan, class U
K03301	['Skcos9924']	ATP:ADP antiporter, AAA family
K00794	['Skcos9961']	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
K05546	['Skcos9975']	alpha 1,3-glucosidase [EC:3.2.1.84]
K04532	['Skcos9981']	amyloid beta precursor protein binding protein 1
